         431300 function calls (425198 primitive calls) in 2.660 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1520    0.011    0.000    0.040    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\_collections_abc.py:804(get)
     4120    0.011    0.000    0.011    0.000 {method 'columns' of 'builtins.PyDataFrame' objects}
      574    0.011    0.000    0.011    0.000 {built-in method time.localtime}
      574    0.011    0.000    0.044    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1137(flush)
     2320    0.011    0.000    0.371    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:20(parse_as_list_of_expressions)
      440    0.010    0.000    0.295    0.001 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:8361(select)
     2600    0.010    0.000    0.015    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\wrap.py:16(wrap_ldf)
       80    0.010    0.000    0.028    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:2852(filter)
      574    0.010    0.000    0.010    0.000 {built-in method time.strftime}
       80    0.010    0.000    0.091    0.001 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\actifs\ops\MpActifProjCopy.py:10(mpActifProjCopy)
        6    0.010    0.002    0.010    0.002 {concat_df_diagonal}
      482    0.009    0.000    0.016    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pstats.py:502(print_line)
       40    0.009    0.000    0.293    0.007 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\actifs\ops\MpActifIndicesPerf.py:15(mpActifIndicesPerf)
     1080    0.009    0.000    0.009    0.000 {method 'with_columns' of 'builtins.PyLazyFrame' objects}
     2120    0.009    0.000    0.009    0.000 {method 'optimization_toggle' of 'builtins.PyLazyFrame' objects}
     3040    0.008    0.000    0.033    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\typing.py:1483(__subclasscheck__)
     3680    0.008    0.000    0.008    0.000 {method 'alias' of 'builtins.PyExpr' objects}
