cd_choc_s2_gse,maturite,intraperiod,pzc
CENTRAL,126,Beg,0.018332288416207234
CENTRAL,127,Beg,0.017711790322475385
CENTRAL,128,Beg,0.017132692049833212
CENTRAL,129,Beg,0.01655167606075227
CENTRAL,130,Beg,0.016009733766660126
CENTRAL,131,Beg,0.015465752957647934
CENTRAL,132,Beg,0.014958642632006912
CENTRAL,133,Beg,0.014449397431723006
CENTRAL,134,Beg,0.01397493645438773
CENTRAL,135,Beg,0.013515793288072168
CENTRAL,136,Beg,0.013054404843650122
CENTRAL,137,Beg,0.012624894698059358
CENTRAL,138,Beg,0.012209279794718825
CENTRAL,139,Beg,0.011791351099314682
CENTRAL,140,Beg,0.01140262501780726
CENTRAL,141,Beg,0.01102650068582245
CENTRAL,142,Beg,0.010648028992381004
CENTRAL,143,Beg,0.010296297484933615
CENTRAL,144,Beg,0.00995599188991165
CENTRAL,145,Beg,0.009626747522935094
CENTRAL,146,Beg,0.009308211124485244
CENTRAL,147,Beg,0.00898732668305255
CENTRAL,148,Beg,0.008689527541388267
CENTRAL,149,Beg,0.008401433532631356
CENTRAL,150,Beg,0.008122733858310588
CENTRAL,0,Mid,1.0
CENTRAL,1,Mid,0.9844885207634093
CENTRAL,2,Mid,0.9530843901093076
CENTRAL,3,Mid,0.9233837280322535
CENTRAL,4,Mid,0.8964090064347248
CENTRAL,5,Mid,0.8701049154425928
CENTRAL,6,Mid,0.8445484462400625
CENTRAL,7,Mid,0.8200210598596215
CENTRAL,8,Mid,0.796028494273937
CENTRAL,9,Mid,0.7722621221554349
CENTRAL,10,Mid,0.7489255750802112
CENTRAL,11,Mid,0.7260265714957694
CENTRAL,12,Mid,0.7045381089470069
CENTRAL,13,Mid,0.6846048412031515
CENTRAL,14,Mid,0.6655617323661934
CENTRAL,15,Mid,0.6480383394609129
CENTRAL,16,Mid,0.6327097245415924
CENTRAL,17,Mid,0.6195476292097493
CENTRAL,18,Mid,0.6077356101872566
CENTRAL,19,Mid,0.596490870196845
CENTRAL,20,Mid,0.5852375924293988
CENTRAL,21,Mid,0.5734615034415145
CENTRAL,22,Mid,0.5610272541404078
CENTRAL,23,Mid,0.5480515784574289
CENTRAL,24,Mid,0.5346885978902214
CENTRAL,25,Mid,0.5211235193376772
CENTRAL,26,Mid,0.5073736885249299
CENTRAL,27,Mid,0.4935395162885052
CENTRAL,28,Mid,0.47972278143561337
CENTRAL,29,Mid,0.4659774910819503
