scenario,period,evenement,cd_choc_s2,cd_choc_s2_gse,cd_trajectoire,dt_trajectoire,cd_societe,cd_canton,cd_classe_actif,cd_classe_actif_detail,cd_isin,mt_vm,mt_vc,tx_action_t1,tx_action_t2,tx_action_strat,mt_pdd,mt_vm_av,mt_vc_av,mt_pfi,mt_cf,mt_fuite_eco,mt_fuite_vc
1,6,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,6239651.244373611,5192250.0,1.0,0.0,0.0,0.0,6239651.244373611,5192250.0,0.0,0.0,0.0,0.0
1,6,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4159767.4962490746,2445624.999999999,0.0,0.0,0.0,0.0,4159767.4962490746,2445624.999999999,0.0,0.0,0.0,0.0
1,7,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,6425410.248115042,5192250.0,1.0,0.0,0.0,0.0,6239651.244373611,5192250.0,0.0,0.0,-9.313225746154785e-10,0.0
1,7,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4283606.832076695,2445624.999999999,0.0,0.0,0.0,0.0,4159767.4962490746,2445624.999999999,0.0,0.0,-9.313225746154785e-10,0.0
1,7,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,6425410.248115042,5192250.0,1.0,0.0,0.0,0.0,6425410.248115042,5192250.0,0.0,0.0,0.0,0.0
1,7,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4283606.832076695,2445624.999999999,0.0,0.0,0.0,0.0,4283606.832076695,2445624.999999999,0.0,0.0,0.0,0.0
1,8,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,6621449.9510356225,5192250.0,1.0,0.0,0.0,0.0,6425410.248115042,5192250.0,0.0,0.0,0.0,0.0
1,8,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4414299.967357081,2445624.999999999,0.0,0.0,0.0,0.0,4283606.832076695,2445624.999999999,0.0,0.0,0.0,0.0
1,8,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,6621449.951035622,5192249.999999999,1.0,0.0,0.0,0.0,6621449.9510356225,5192250.0,0.0,9.313225746154785e-10,0.0,0.0
1,8,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4414299.967357081,2445624.999999999,0.0,0.0,0.0,0.0,4414299.967357081,2445624.999999999,0.0,0.0,0.0,0.0
1,9,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,6826979.850014449,5192249.999999999,1.0,0.0,0.0,0.0,6621449.951035622,5192249.999999999,0.0,0.0,0.0,0.0
1,9,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4551319.900009633,2445624.999999999,0.0,0.0,0.0,0.0,4414299.967357081,2445624.999999999,0.0,0.0,0.0,0.0
1,9,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,6826979.850014449,5192249.999999999,1.0,0.0,0.0,0.0,6826979.850014449,5192249.999999999,0.0,0.0,0.0,0.0
1,9,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4551319.900009633,2445624.999999999,0.0,0.0,0.0,0.0,4551319.900009633,2445624.999999999,0.0,0.0,0.0,0.0
1,10,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,7040528.256590642,5192249.999999999,1.0,0.0,0.0,0.0,6826979.850014449,5192249.999999999,0.0,0.0,0.0,0.0
