cd_choc_s2_gse,maturite,intraperiod,pzc,scenario,period
CENTRAL,36,Mid,0.3754963091783747,1,0
CENTRAL,37,Beg,0.36952134827541017,1,0
CENTRAL,37,End,0.35789362021448257,1,0
CENTRAL,37,Mid,0.36366101396881023,1,0
CENTRAL,38,Beg,0.35789362021448257,1,0
CENTRAL,38,End,0.34642300949699756,1,0
CENTRAL,38,Mid,0.352111608718708,1,0
CENTRAL,39,Beg,0.34642300949699756,1,0
CENTRAL,39,End,0.3353626189328297,1,0
CENTRAL,39,Mid,0.3408479539670227,1,0
CENTRAL,40,Beg,0.3353626189328297,1,0
CENTRAL,40,End,0.32457977441195407,1,0
CENTRAL,40,Mid,0.3299271483212923,1,0
CENTRAL,41,Beg,0.32457977441195407,1,0
CENTRAL,41,End,0.3140705048743862,1,0
CENTRAL,41,Mid,0.3192819030599398,1,0
CENTRAL,42,Beg,0.3140705048743862,1,0
CENTRAL,42,End,0.30383077815910675,1,0
CENTRAL,42,Mid,0.30890821596844636,1,0
CENTRAL,43,Beg,0.30383077815910675,1,0
CENTRAL,43,End,0.2939793433121605,1,0
CENTRAL,43,Mid,0.2988644720291071,1,0
CENTRAL,44,Beg,0.2939793433121605,1,0
CENTRAL,44,End,0.2843866566227838,1,0
CENTRAL,44,Mid,0.2891432215368482,1,0
CENTRAL,45,Beg,0.2843866566227838,1,0
CENTRAL,45,End,0.2750483100883018,1,0
CENTRAL,45,Mid,0.2796785106434866,1,0
CENTRAL,46,Beg,0.2750483100883018,1,0
CENTRAL,46,End,0.2660787754938051,1,0
CENTRAL,46,Mid,0.27052637126523493,1,0
CENTRAL,47,Beg,0.2660787754938051,1,0
CENTRAL,47,End,0.25723435623208285,1,0
CENTRAL,47,Mid,0.2616191937170701,1,0
CENTRAL,48,Beg,0.25723435623208285,1,0
CENTRAL,48,End,0.2488628853697023,1,0
CENTRAL,48,Mid,0.2530139998263614,1,0
CENTRAL,49,Beg,0.2488628853697023,1,0
CENTRAL,49,End,0.24060730199404515,1,0
CENTRAL,49,Mid,0.24470028078295578,1,0
CENTRAL,50,Beg,0.24060730199404515,1,0
CENTRAL,50,End,0.23269347786616884,1,0
CENTRAL,50,Mid,0.23661730685009064,1,0
CENTRAL,51,Beg,0.23269347786616884,1,0
CENTRAL,51,End,0.22500069400670164,1,0
CENTRAL,51,Mid,0.2288147591627801,1,0
CENTRAL,52,Beg,0.22500069400670164,1,0
CENTRAL,52,End,0.21752428719232456,1,0
