cd_choc_s2,cd_choc_s2_gse,scenario,period,intraperiod,cd_societe,cd_canton,cd_type_flux,mt_cf
CENTRAL,CENTRAL,1,5,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-10076.590599622275
CENTRAL,CENTRAL,1,5,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-795.0300441775867
CENTRAL,CENTRAL,1,5,Beg,ACCENTURE,C00001,mt_fgse_uc,-110074.81084170153
CENTRAL,CENTRAL,1,6,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1415746.4756659116
CENTRAL,CENTRAL,1,6,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-116981.63744717048
CENTRAL,CENTRAL,1,6,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28892.785217671677
CENTRAL,CENTRAL,1,6,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-2387.380356064704
CENTRAL,CENTRAL,1,6,Beg,ACCENTURE,C00001,mt_fgse_eu,-216626.05671968314
CENTRAL,CENTRAL,1,6,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-504201.75627395295
CENTRAL,CENTRAL,1,6,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-41660.406110465934
CENTRAL,CENTRAL,1,6,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-10289.83176069292
CENTRAL,CENTRAL,1,6,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-850.2123696013457
CENTRAL,CENTRAL,1,6,Beg,ACCENTURE,C00001,mt_fgse_uc,-109898.8634074551
CENTRAL,CENTRAL,1,7,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,7,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-127401.32392647781
CENTRAL,CENTRAL,1,7,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,7,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-2600.027018907709
CENTRAL,CENTRAL,1,7,Beg,ACCENTURE,C00001,mt_fgse_eu,-216907.07121034627
CENTRAL,CENTRAL,1,7,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488672.12179542443
CENTRAL,CENTRAL,1,7,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-45367.992223206835
CENTRAL,CENTRAL,1,7,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9972.900444804578
CENTRAL,CENTRAL,1,7,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-925.8773923103436
CENTRAL,CENTRAL,1,7,Beg,ACCENTURE,C00001,mt_fgse_uc,-110026.32719695909
CENTRAL,CENTRAL,1,8,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,8,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-139289.31918317472
CENTRAL,CENTRAL,1,8,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,8,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-2842.6391670035664
CENTRAL,CENTRAL,1,8,Beg,ACCENTURE,C00001,mt_fgse_eu,-216824.51006495047
CENTRAL,CENTRAL,1,8,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488761.1117661483
CENTRAL,CENTRAL,1,8,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-49610.28660341145
CENTRAL,CENTRAL,1,8,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9974.71656665609
CENTRAL,CENTRAL,1,8,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-1012.4548286410493
CENTRAL,CENTRAL,1,8,Beg,ACCENTURE,C00001,mt_fgse_uc,-110024.514320535
CENTRAL,CENTRAL,1,9,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,9,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-150526.56441843763
CENTRAL,CENTRAL,1,9,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,9,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-3071.970702417094
CENTRAL,CENTRAL,1,9,Beg,ACCENTURE,C00001,mt_fgse_eu,-216745.65278462574
CENTRAL,CENTRAL,1,9,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488824.8888778102
CENTRAL,CENTRAL,1,9,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-53619.31723822117
CENTRAL,CENTRAL,1,9,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9976.018140363476
CENTRAL,CENTRAL,1,9,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-1094.2717803718604
CENTRAL,CENTRAL,1,9,Beg,ACCENTURE,C00001,mt_fgse_uc,-110013.21341385768
CENTRAL,CENTRAL,1,10,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,10,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-165310.98533028393
CENTRAL,CENTRAL,1,10,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,10,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-3373.693578169063
CENTRAL,CENTRAL,1,10,Beg,ACCENTURE,C00001,mt_fgse_eu,-216642.03639439272
CENTRAL,CENTRAL,1,10,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488853.77600493404
CENTRAL,CENTRAL,1,10,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-58889.08002424712
