cd_choc_s2,cd_choc_s2_gse,cd_choc_s2_passif_prst,cd_choc_s2_passif_ic_fgx,scenario,period,evenement,cd_societe,cd_canton,cd_prtf_ifrs17,cd_fampdt,cd_cnt,nb_cnt,cd_asse_sexe,dt_asse_naiss,dt_cnt_effet,mt_pm_eu,cd_hrg_eu,mt_pm_uc,cd_hrg_uc,cd_prst_rt_cat,cd_capitalisation,tmg,tmg_type,taf,tfgse,tfgse_uc,cd_hyp_mort_exp,cd_hyp_mort_prov,tx_prst_chgt,tx_action_t1,tx_action_t2,tx_action_strat,tx_immobilier,nb_asse_age_annee,nb_asse_age_mois,nb_cnt_anciennete_annee,nb_cnt_anciennete_mois,tmg_brt,generation,mt_pm_eu_av,mt_pm_uc_av,nb_cnt_av
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,69,1.0,H,1977-03-31,1996-12-31,401206.0,30001,100301.0,31001,2,ncapi,0.0,net,0.9,0.006,0.0085,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,45,549,26,312,0.006666666666666666,1977,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,70,1.0,H,1977-03-31,1996-12-31,451894.0,30001,112973.0,31001,2,ncapi,0.0036,net,0.9,0.006,0.0085,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,45,549,26,312,0.010666666666666668,1977,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,71,1.0,H,1977-09-30,2005-12-31,4517.0,30001,1129.0,31001,6,ncapi,0.0,net,1.0,0.0107,0.0132,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,45,543,17,204,0.0107,1977,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,72,1.0,H,1977-09-30,2011-12-31,2284.0,30001,571.0,31001,5,ncapi,0.0,net,0.96,0.0048,0.0073,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,45,543,11,132,0.005,1977,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,73,1.0,H,1978-05-31,2004-12-31,840.0,30001,210.0,31001,6,ncapi,0.005,net,1.0,0.0104,0.0129,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,44,535,18,216,0.0154,1978,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,74,1.0,H,1979-12-31,1996-12-31,1888.0,30001,472.0,31001,2,ncapi,0.045,net,0.9,0.0036,0.0061,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,43,516,26,312,0.05399999999999999,1979,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,75,1.0,H,1981-03-31,2007-12-31,55758.0,30001,13940.0,31001,5,ncapi,0.0,net,0.98,0.0033,0.0058,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,41,501,15,180,0.0033673469387755102,1981,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,76,1.0,H,1983-06-30,1989-12-31,1039.0,30001,260.0,31001,2,ncapi,0.045,net,0.98,0.004,0.0065,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,39,474,33,396,0.05,1983,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,77,1.0,H,1986-05-31,2002-12-31,70109.0,30001,17527.0,31001,5,ncapi,0.0,net,1.0,0.007,0.0095,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,36,439,20,240,0.007,1986,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,78,1.0,H,1986-05-31,2002-12-31,39.0,30001,10.0,31001,5,ncapi,0.045,net,1.0,0.007,0.0095,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,36,439,20,240,0.052,1986,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,79,1.0,H,1986-05-31,2002-12-31,107.0,30001,27.0,31001,5,ncapi,0.0,brut,1.0,0.007,0.0095,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,36,439,20,240,0.007,1986,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,80,1.0,H,1989-04-30,1999-12-31,444.0,30001,111.0,31001,5,ncapi,0.0036,net,0.95,0.004,0.0065,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,33,404,23,276,0.008,1989,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,81,1.0,H,1989-04-30,1999-12-31,40.0,30001,10.0,31001,5,ncapi,0.0,net,0.95,0.004,0.0065,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,33,404,23,276,0.004210526315789474,1989,0.0,0.0,0.0
