cd_table,age,sexe,qx
THTF0002,56,F,0.003689998
THTF0002,57,F,0.003915302
THTF0002,58,F,0.004143162
THTF0002,59,F,0.004395089
THTF0002,60,F,0.00468236
THTF0002,61,F,0.005027344
THTF0002,62,F,0.005431431
THTF0002,63,F,0.005885361
THTF0002,64,F,0.006401698
THTF0002,65,F,0.006971596
THTF0002,66,F,0.00763054
THTF0002,67,F,0.008382136
THTF0002,68,F,0.009230665
THTF0002,69,F,0.010203966
THTF0002,70,F,0.011332031
THTF0002,71,F,0.01258951
THTF0002,72,F,0.014009724
THTF0002,73,F,0.015629664
THTF0002,74,F,0.017515344
THTF0002,75,F,0.01970419
THTF0002,76,F,0.022279036
THTF0002,77,F,0.025272758
THTF0002,78,F,0.028742847
THTF0002,79,F,0.032763688
THTF0002,80,F,0.037488746
THTF0002,81,F,0.043041083
THTF0002,82,F,0.04955863
THTF0002,83,F,0.057091897
THTF0002,84,F,0.065644172
THTF0002,85,F,0.075180565
THTF0002,86,F,0.085670335
THTF0002,87,F,0.096932833
THTF0002,88,F,0.108650998
THTF0002,89,F,0.120528417
THTF0002,90,F,0.132598032
THTF0002,91,F,0.145456461
THTF0002,92,F,0.15965143
THTF0002,93,F,0.175308159
THTF0002,94,F,0.192289442
THTF0002,95,F,0.210603613
THTF0002,96,F,0.230046512
THTF0002,97,F,0.250453063
THTF0002,98,F,0.272082527
THTF0002,99,F,0.294729849
THTF0002,100,F,0.318367347
THTF0002,101,F,0.343159834
THTF0002,102,F,0.368863955
THTF0002,103,F,0.395555556
THTF0002,104,F,0.422794118
THTF0002,105,F,0.452229299
THTF0002,106,F,0.48255814
THTF0002,107,F,0.505617978
THTF0002,108,F,0.545454545
THTF0002,109,F,0.55
THTF0002,110,F,0.555555556
THTF0002,111,F,0.75
THTF0002,112,F,1
THTF0002,113,F,1
THTF0002,114,F,1
THTF0002,115,F,1
THTF0002,116,F,1
THTF0002,117,F,1
THTF0002,118,F,1
THTF0002,119,F,1
THTF0002,120,F,1
