cd_table,cd_societe,cd_fampdt,tx_fgx_prst_eu,tx_fgx_plct_eu,tx_fgx_pm_eu,tx_fgx_prst_uc,tx_fgx_plct_uc,tx_fgx_pm_uc
hyp_passif_ep_fgx_2212,ACCENTURE,EP_IND_1,0.0239,0.0031,0.00084,0.0239,0.0031,0.00084
hyp_passif_ep_fgx_2212,ACCENTURE,EP_IND_2,0.0239,0.0031,0.00084,0.0239,0.0031,0.00084
